Order Date,Region,Customer Segment,Product Category,Units Sold,Unit Price,Revenue,Profit Margin
2021-01-04 10:00:00,North,Corporate,Electronics,1,464.17,464.17,0.16
2021-01-04 11:00:00,West,Consumer,Office Supplies,31,98.76,3061.56,0.23
2021-01-04 12:00:00,East,Corporate,Furniture,42,457.11,19198.62,0.2
2021-01-04 13:00:00,East,Consumer,Furniture,34,37.55,1276.7,0.07
2021-01-04 14:00:00,South,Consumer,Electronics,46,474.63,21832.98,0.13
2021-01-04 15:00:00,North,Consumer,Office Supplies,40,108.39,4335.6,0.17
2021-01-04 16:00:00,West,Corporate,Electronics,6,158.33,949.98,0.23
2021-01-04 17:00:00,South,Consumer,Electronics,28,250.56,7015.68,0.24
2021-01-04 18:00:00,West,Corporate,Office Supplies,3,196.55,589.65,0.17
2021-01-04 19:00:00,West,Consumer,Office Supplies,31,337.09,10449.79,0.08
2021-01-04 20:00:00,South,Consumer,Office Supplies,16,487.66,7802.56,0.12
2021-01-04 21:00:00,South,Small Business,Furniture,17,307.15,5221.55,0.11
2021-01-04 22:00:00,South,Small Business,Electronics,44,363.53,15995.32,0.25
2021-01-04 23:00:00,South,Small Business,Furniture,27,53.12,1434.24,0.09
2021-01-05 0:00:00,South,Corporate,Office Supplies,24,317.63,7623.12,0.17
2021-01-05 1:00:00,West,Corporate,Furniture,20,232.39,4647.8,0.22
2021-01-05 2:00:00,South,Consumer,Office Supplies,32,444.03,14208.96,0.29
2021-01-05 3:00:00,North,Consumer,Office Supplies,35,200.22,7007.7,0.3
2021-01-05 4:00:00,East,Consumer,Electronics,13,342.93,4458.09,0.29
2021-01-05 5:00:00,South,Consumer,Electronics,48,121.8,5846.4,0.23
2021-01-05 6:00:00,South,Corporate,Electronics,43,137.09,5894.87,0.24
2021-01-05 7:00:00,West,Consumer,Furniture,20,194.3,3886,0.24
2021-01-05 8:00:00,South,Consumer,Electronics,48,158.99,7631.52,0.27
2021-01-05 9:00:00,South,Small Business,Office Supplies,2,134.4,268.8,0.29
2021-01-05 10:00:00,South,Consumer,Electronics,4,34.34,137.36,0.16
2021-01-05 11:00:00,West,Consumer,Furniture,27,420.01,11340.27,0.15
2021-01-05 12:00:00,South,Consumer,Electronics,25,41.51,1037.75,0.17
2021-01-05 13:00:00,East,Corporate,Electronics,4,444.81,1779.24,0.21
2021-01-05 14:00:00,West,Small Business,Electronics,32,71.48,2287.36,0.24
2021-01-05 15:00:00,East,Consumer,Furniture,17,41.98,713.66,0.27
2021-01-05 16:00:00,West,Consumer,Office Supplies,1,285.87,285.87,0.16
2021-01-05 17:00:00,South,Small Business,Office Supplies,33,256.2,8454.6,0.14
2021-01-05 18:00:00,East,Consumer,Office Supplies,30,250.7,7521,0.3
2021-01-05 19:00:00,West,Corporate,Electronics,5,291.51,1457.55,0.11
2021-01-05 20:00:00,North,Consumer,Electronics,12,150.66,1807.92,0.11
2021-01-05 21:00:00,South,Corporate,Furniture,38,334.85,12724.3,0.23
2021-01-05 22:00:00,West,Corporate,Office Supplies,32,256.18,8197.76,0.09
2021-01-05 23:00:00,North,Consumer,Electronics,38,174.02,6612.76,0.15
2021-01-06 0:00:00,West,Small Business,Electronics,17,414.99,7054.83,0.12
2021-01-06 1:00:00,North,Corporate,Electronics,45,366.58,16496.1,0.09
2021-01-06 2:00:00,South,Small Business,Furniture,40,202.87,8114.8,0.19
2021-01-06 3:00:00,East,Consumer,Office Supplies,32,425.33,13610.56,0.14
2021-01-06 4:00:00,North,Corporate,Furniture,24,460.93,11062.32,0.17
2021-01-06 5:00:00,West,Consumer,Office Supplies,12,273.06,3276.72,0.1
2021-01-06 6:00:00,South,Small Business,Office Supplies,47,115.33,5420.51,0.24
2021-01-06 7:00:00,North,Consumer,Electronics,31,458.74,14220.94,0.13
2021-01-06 8:00:00,West,Consumer,Electronics,19,102.85,1954.15,0.14
2021-01-06 9:00:00,West,Corporate,Electronics,29,33.73,978.17,0.11
2021-01-06 10:00:00,West,Consumer,Electronics,21,170.47,3579.87,0.16
2021-01-06 11:00:00,North,Consumer,Electronics,26,366.21,9521.46,0.17
2021-01-06 12:00:00,North,Consumer,Office Supplies,28,462.4,12947.2,0.18
2021-01-06 13:00:00,North,Corporate,Electronics,17,322.27,5478.59,0.29
2021-01-06 14:00:00,East,Small Business,Electronics,9,476.4,4287.6,0.28
2021-01-06 15:00:00,North,Small Business,Furniture,21,55.26,1160.46,0.2
2021-01-06 16:00:00,North,Consumer,Furniture,34,39.77,1352.18,0.06
2021-01-06 17:00:00,North,Corporate,Office Supplies,11,306.05,3366.55,0.2
2021-01-06 18:00:00,East,Consumer,Office Supplies,20,483.4,9668,0.07
2021-01-06 19:00:00,North,Small Business,Furniture,49,256.33,12560.17,0.23
2021-01-06 20:00:00,West,Corporate,Furniture,47,35.24,1656.28,0.15
2021-01-06 21:00:00,North,Small Business,Electronics,39,118.4,4617.6,0.26
2021-01-06 22:00:00,West,Small Business,Electronics,16,129.95,2079.2,0.29
2021-01-06 23:00:00,West,Corporate,Office Supplies,29,175.55,5090.95,0.15
2021-01-07 0:00:00,West,Corporate,Furniture,1,31.37,31.37,0.17
2021-01-07 1:00:00,East,Consumer,Office Supplies,18,453.4,8161.2,0.2
2021-01-07 2:00:00,East,Consumer,Electronics,22,262.63,5777.86,0.1
2021-01-07 3:00:00,East,Small Business,Office Supplies,8,338.76,2710.08,0.28
2021-01-07 4:00:00,North,Corporate,Office Supplies,7,42.91,300.37,0.16
2021-01-07 5:00:00,West,Corporate,Office Supplies,25,36.52,913,0.09
2021-01-07 6:00:00,East,Consumer,Electronics,30,297.37,8921.1,0.24
2021-01-07 7:00:00,East,Small Business,Office Supplies,34,444.78,15122.52,0.1
2021-01-07 8:00:00,North,Small Business,Electronics,44,268.96,11834.24,0.09
2021-01-07 9:00:00,East,Consumer,Furniture,48,440.13,21126.24,0.19
2021-01-07 10:00:00,North,Corporate,Office Supplies,41,407.39,16702.99,0.22
2021-01-07 11:00:00,South,Consumer,Office Supplies,11,47.17,518.87,0.19
2021-01-07 12:00:00,East,Consumer,Electronics,15,108.96,1634.4,0.21
2021-01-07 13:00:00,South,Consumer,Office Supplies,35,332.28,11629.8,0.08
2021-01-07 14:00:00,North,Consumer,Electronics,23,227.32,5228.36,0.17
2021-01-07 15:00:00,West,Corporate,Office Supplies,45,152.44,6859.8,0.14
2021-01-07 16:00:00,East,Consumer,Furniture,21,215.13,4517.73,0.29
2021-01-07 17:00:00,North,Corporate,Furniture,28,228.15,6388.2,0.06
2021-01-07 18:00:00,West,Consumer,Furniture,13,456.17,5930.21,0.12
2021-01-07 19:00:00,West,Small Business,Office Supplies,34,60.69,2063.46,0.29
2021-01-07 20:00:00,South,Corporate,Office Supplies,38,147.07,5588.66,0.3
2021-01-07 21:00:00,North,Small Business,Furniture,6,273.41,1640.46,0.26
2021-01-07 22:00:00,West,Consumer,Furniture,44,352.16,15495.04,0.07
2021-01-07 23:00:00,East,Consumer,Electronics,4,319.01,1276.04,0.19
2021-01-08 0:00:00,East,Consumer,Electronics,5,471.4,2357,0.15
2021-01-08 1:00:00,South,Corporate,Furniture,40,399.85,15994,0.25
2021-01-08 2:00:00,West,Small Business,Furniture,6,282.97,1697.82,0.06
2021-01-08 3:00:00,North,Corporate,Office Supplies,21,115.19,2418.99,0.1
2021-01-08 4:00:00,East,Corporate,Furniture,28,230.93,6466.04,0.17
2021-01-08 5:00:00,West,Consumer,Electronics,3,349.76,1049.28,0.09
2021-01-08 6:00:00,West,Small Business,Electronics,23,420.6,9673.8,0.22
2021-01-08 7:00:00,South,Consumer,Electronics,8,480.27,3842.16,0.26
2021-01-08 8:00:00,East,Corporate,Electronics,19,306.67,5826.73,0.23
2021-01-08 9:00:00,East,Consumer,Electronics,11,268.19,2950.09,0.16
2021-01-08 10:00:00,North,Small Business,Electronics,10,18.67,186.7,0.27
2021-01-08 11:00:00,East,Consumer,Furniture,28,45.33,1269.24,0.08
2021-01-08 12:00:00,North,Small Business,Electronics,20,86.49,1729.8,0.12
2021-01-08 13:00:00,East,Small Business,Electronics,44,36.83,1620.52,0.17
2021-01-08 14:00:00,South,Consumer,Electronics,28,206.42,5779.76,0.07
2021-01-08 15:00:00,East,Corporate,Electronics,29,175.07,5077.03,0.07
2021-01-08 16:00:00,North,Consumer,Furniture,8,322.3,2578.4,0.15
2021-01-08 17:00:00,North,Corporate,Office Supplies,19,272.48,5177.12,0.29
2021-01-08 18:00:00,South,Corporate,Office Supplies,48,302.03,14497.44,0.28
2021-01-08 19:00:00,East,Consumer,Office Supplies,21,241.27,5066.67,0.17
2021-01-08 20:00:00,East,Corporate,Office Supplies,18,146.09,2629.62,0.09
2021-01-08 21:00:00,South,Corporate,Electronics,9,476.88,4291.92,0.09
2021-01-08 22:00:00,East,Consumer,Office Supplies,4,52.34,209.36,0.14
2021-01-08 23:00:00,East,Consumer,Office Supplies,41,470.06,19272.46,0.1
2021-01-09 0:00:00,North,Consumer,Furniture,25,162.51,4062.75,0.07
2021-01-09 1:00:00,East,Corporate,Furniture,34,261.2,8880.8,0.22
2021-01-09 2:00:00,East,Small Business,Furniture,9,63.33,569.97,0.2
2021-01-09 3:00:00,South,Corporate,Electronics,9,44.76,402.84,0.12
2021-01-09 4:00:00,South,Small Business,Electronics,18,220.48,3968.64,0.24
2021-01-09 5:00:00,West,Consumer,Electronics,11,373.43,4107.73,0.24
2021-01-09 6:00:00,North,Small Business,Furniture,13,141.99,1845.87,0.17
2021-01-09 7:00:00,East,Consumer,Office Supplies,38,285.55,10850.9,0.07
2021-01-09 8:00:00,East,Consumer,Furniture,9,146.54,1318.86,0.28
2021-01-09 9:00:00,West,Small Business,Electronics,16,200.42,3206.72,0.22
2021-01-09 10:00:00,East,Consumer,Furniture,4,454.16,1816.64,0.11
2021-01-09 11:00:00,North,Small Business,Office Supplies,34,429.36,14598.24,0.2
2021-01-09 12:00:00,West,Consumer,Electronics,7,262.85,1839.95,0.15
2021-01-09 13:00:00,North,Corporate,Office Supplies,15,126.67,1900.05,0.21
2021-01-09 14:00:00,West,Corporate,Office Supplies,38,104.66,3977.08,0.17
2021-01-09 15:00:00,West,Consumer,Electronics,11,477.5,5252.5,0.17
2021-01-09 16:00:00,South,Consumer,Office Supplies,32,109.33,3498.56,0.23
2021-01-09 17:00:00,North,Small Business,Furniture,27,406,10962,0.2
2021-01-09 18:00:00,East,Corporate,Office Supplies,30,190.8,5724,0.07
2021-01-09 19:00:00,East,Small Business,Office Supplies,17,492.97,8380.49,0.07
2021-01-09 20:00:00,North,Consumer,Office Supplies,36,190.4,6854.4,0.13
2021-01-09 21:00:00,East,Consumer,Furniture,19,182.24,3462.56,0.16
2021-01-09 22:00:00,East,Small Business,Office Supplies,7,322.36,2256.52,0.12
2021-01-09 23:00:00,North,Consumer,Office Supplies,43,481.14,20689.02,0.21
2021-01-10 0:00:00,West,Corporate,Furniture,45,488.34,21975.3,0.1
2021-01-10 1:00:00,North,Small Business,Electronics,21,356.53,7487.13,0.23
2021-01-10 2:00:00,West,Corporate,Electronics,28,379.76,10633.28,0.24
2021-01-10 3:00:00,East,Corporate,Electronics,3,286.07,858.21,0.08
2021-01-10 4:00:00,East,Corporate,Office Supplies,14,380.33,5324.62,0.21
2021-01-10 5:00:00,East,Small Business,Electronics,2,431.29,862.58,0.29
2021-01-10 6:00:00,South,Consumer,Furniture,29,248.19,7197.51,0.1
2021-01-10 7:00:00,West,Corporate,Office Supplies,18,313.73,5647.14,0.28
2021-01-10 8:00:00,South,Corporate,Office Supplies,37,273.29,10111.73,0.2
2021-01-10 9:00:00,South,Corporate,Office Supplies,45,285.61,12852.45,0.2
2021-01-10 10:00:00,North,Consumer,Electronics,45,446.12,20075.4,0.06
2021-01-10 11:00:00,South,Consumer,Electronics,24,184.25,4422,0.24
2021-01-10 12:00:00,North,Small Business,Electronics,46,112.01,5152.46,0.17
2021-01-10 13:00:00,North,Consumer,Office Supplies,12,233.58,2802.96,0.23
2021-01-10 14:00:00,South,Small Business,Furniture,45,111.96,5038.2,0.25
2021-01-10 15:00:00,West,Small Business,Office Supplies,32,254.22,8135.04,0.18
2021-01-10 16:00:00,West,Small Business,Furniture,18,452.72,8148.96,0.12
2021-01-10 17:00:00,West,Small Business,Office Supplies,13,312.54,4063.02,0.09
2021-01-10 18:00:00,West,Small Business,Furniture,4,429.16,1716.64,0.09
2021-01-10 19:00:00,West,Corporate,Office Supplies,23,91.43,2102.89,0.27
2021-01-10 20:00:00,South,Consumer,Office Supplies,10,451.43,4514.3,0.08
2021-01-10 21:00:00,South,Corporate,Furniture,5,304.88,1524.4,0.15
2021-01-10 22:00:00,East,Small Business,Furniture,40,25.56,1022.4,0.13
2021-01-10 23:00:00,West,Consumer,Furniture,14,320.23,4483.22,0.27
2021-01-11 0:00:00,South,Corporate,Furniture,34,476.18,16190.12,0.17
2021-01-11 1:00:00,East,Corporate,Furniture,28,48.79,1366.12,0.3
2021-01-11 2:00:00,West,Small Business,Furniture,8,295.4,2363.2,0.23
2021-01-11 3:00:00,North,Corporate,Furniture,16,458.58,7337.28,0.26
2021-01-11 4:00:00,East,Corporate,Furniture,31,14.75,457.25,0.07
2021-01-11 5:00:00,South,Corporate,Office Supplies,7,319.15,2234.05,0.11
2021-01-11 6:00:00,North,Corporate,Furniture,3,242.7,728.1,0.08
2021-01-11 7:00:00,North,Corporate,Furniture,29,180.02,5220.58,0.17
2021-01-11 8:00:00,North,Small Business,Office Supplies,36,317.49,11429.64,0.23
2021-01-11 9:00:00,East,Small Business,Office Supplies,39,35.82,1396.98,0.09
2021-01-11 10:00:00,South,Corporate,Electronics,4,379,1516,0.08
2021-01-11 11:00:00,North,Small Business,Electronics,9,12.19,109.71,0.2
2021-01-11 12:00:00,West,Small Business,Furniture,17,160.4,2726.8,0.11
2021-01-11 13:00:00,North,Consumer,Furniture,49,256.94,12590.06,0.17
2021-01-11 14:00:00,North,Corporate,Electronics,20,194.74,3894.8,0.06
2021-01-11 15:00:00,East,Small Business,Electronics,14,160.66,2249.24,0.22
2021-01-11 16:00:00,East,Small Business,Furniture,46,417.11,19187.06,0.19
2021-01-11 17:00:00,South,Corporate,Electronics,29,468.07,13574.03,0.21
2021-01-11 18:00:00,West,Consumer,Furniture,13,438.12,5695.56,0.12
2021-01-11 19:00:00,East,Corporate,Office Supplies,36,265.99,9575.64,0.12
2021-01-11 20:00:00,North,Consumer,Office Supplies,45,443.24,19945.8,0.25
2021-01-11 21:00:00,South,Corporate,Electronics,17,461.22,7840.74,0.23
2021-01-11 22:00:00,North,Corporate,Office Supplies,47,210.53,9894.91,0.19
2021-01-11 23:00:00,North,Corporate,Office Supplies,43,148.89,6402.27,0.21
2021-01-12 0:00:00,East,Corporate,Office Supplies,4,58.15,232.6,0.07
2021-01-12 1:00:00,South,Consumer,Office Supplies,20,244.76,4895.2,0.26
2021-01-12 2:00:00,West,Consumer,Furniture,11,473.69,5210.59,0.24
2021-01-12 3:00:00,West,Small Business,Furniture,42,284.84,11963.28,0.2
2021-01-12 4:00:00,East,Corporate,Electronics,22,337.11,7416.42,0.28
2021-01-12 5:00:00,East,Consumer,Office Supplies,45,65.31,2938.95,0.09
2021-01-12 6:00:00,South,Consumer,Office Supplies,8,80.32,642.56,0.22
2021-01-12 7:00:00,West,Consumer,Office Supplies,28,237.59,6652.52,0.29
2021-01-12 8:00:00,West,Corporate,Electronics,45,476.12,21425.4,0.13
2021-01-12 9:00:00,West,Small Business,Furniture,41,186.78,7657.98,0.05
2021-01-12 10:00:00,North,Consumer,Office Supplies,30,439.97,13199.1,0.23
2021-01-12 11:00:00,West,Corporate,Furniture,33,68.94,2275.02,0.05
2021-01-12 12:00:00,North,Consumer,Electronics,33,312.34,10307.22,0.27
2021-01-12 13:00:00,South,Consumer,Furniture,47,304.3,14302.1,0.06
2021-01-12 14:00:00,North,Small Business,Office Supplies,36,431.34,15528.24,0.21
2021-01-12 15:00:00,South,Consumer,Furniture,27,11.63,314.01,0.14
2021-01-12 16:00:00,West,Consumer,Furniture,20,103.07,2061.4,0.1
2021-01-12 17:00:00,West,Corporate,Electronics,33,117.65,3882.45,0.27
2021-01-12 18:00:00,South,Corporate,Electronics,25,475.48,11887,0.24
2021-01-12 19:00:00,East,Small Business,Electronics,44,85.31,3753.64,0.14
2021-01-12 20:00:00,South,Corporate,Electronics,43,28.11,1208.73,0.12
2021-01-12 21:00:00,East,Corporate,Furniture,19,271.89,5165.91,0.23
2021-01-12 22:00:00,North,Small Business,Furniture,47,268.99,12642.53,0.26
2021-01-12 23:00:00,North,Consumer,Electronics,21,423.58,8895.18,0.23
2021-01-13 0:00:00,North,Small Business,Electronics,42,474.94,19947.48,0.21
2021-01-13 1:00:00,West,Corporate,Office Supplies,33,273.89,9038.37,0.11
2021-01-13 2:00:00,North,Small Business,Office Supplies,3,465.7,1397.1,0.26
2021-01-13 3:00:00,East,Consumer,Electronics,14,365.33,5114.62,0.24
2021-01-13 4:00:00,North,Small Business,Furniture,15,139.63,2094.45,0.18
2021-01-13 5:00:00,South,Corporate,Electronics,33,464.93,15342.69,0.18
2021-01-13 6:00:00,South,Corporate,Furniture,42,337.05,14156.1,0.19
2021-01-13 7:00:00,West,Small Business,Furniture,22,212.91,4684.02,0.26
2021-01-13 8:00:00,South,Consumer,Office Supplies,1,343.32,343.32,0.24
2021-01-13 9:00:00,East,Small Business,Electronics,31,206.64,6405.84,0.26
2021-01-13 10:00:00,North,Consumer,Electronics,47,65.95,3099.65,0.18
2021-01-13 11:00:00,West,Consumer,Furniture,35,362.3,12680.5,0.21
2021-01-13 12:00:00,North,Small Business,Electronics,20,413.8,8276,0.26
2021-01-13 13:00:00,North,Consumer,Office Supplies,32,367.12,11747.84,0.11
2021-01-13 14:00:00,East,Corporate,Office Supplies,12,122.27,1467.24,0.16
2021-01-13 15:00:00,South,Small Business,Electronics,16,478.75,7660,0.21
2021-01-13 16:00:00,South,Consumer,Electronics,8,22.37,178.96,0.28
2021-01-13 17:00:00,North,Corporate,Office Supplies,14,173.02,2422.28,0.05
2021-01-13 18:00:00,West,Small Business,Electronics,18,137.45,2474.1,0.1
2021-01-13 19:00:00,South,Corporate,Furniture,30,33.58,1007.4,0.11
2021-01-13 20:00:00,West,Corporate,Electronics,33,208.81,6890.73,0.13
2021-01-13 21:00:00,South,Corporate,Furniture,34,315.33,10721.22,0.12
2021-01-13 22:00:00,West,Consumer,Electronics,44,442.45,19467.8,0.2
2021-01-13 23:00:00,East,Small Business,Electronics,49,494.95,24252.55,0.27
2021-01-14 0:00:00,West,Small Business,Office Supplies,34,405.96,13802.64,0.21
2021-01-14 1:00:00,East,Consumer,Furniture,49,239.65,11742.85,0.11
2021-01-14 2:00:00,East,Small Business,Office Supplies,7,364.62,2552.34,0.27
2021-01-14 3:00:00,West,Corporate,Electronics,6,423.38,2540.28,0.21
2021-01-14 4:00:00,East,Small Business,Office Supplies,6,238,1428,0.1
2021-01-14 5:00:00,North,Consumer,Electronics,22,394.68,8682.96,0.14
2021-01-14 6:00:00,East,Corporate,Electronics,8,246.5,1972,0.25
2021-01-14 7:00:00,South,Consumer,Electronics,37,199.38,7377.06,0.23
2021-01-14 8:00:00,West,Corporate,Furniture,15,267.78,4016.7,0.19
2021-01-14 9:00:00,North,Corporate,Furniture,26,341.17,8870.42,0.09
2021-01-14 10:00:00,West,Small Business,Furniture,39,366.17,14280.63,0.25
2021-01-14 11:00:00,South,Corporate,Office Supplies,3,184.8,554.4,0.13
2021-01-14 12:00:00,South,Consumer,Electronics,10,289.95,2899.5,0.24
2021-01-14 13:00:00,South,Small Business,Office Supplies,3,455.84,1367.52,0.21
2021-01-14 14:00:00,East,Consumer,Office Supplies,30,488.39,14651.7,0.12
2021-01-14 15:00:00,East,Corporate,Electronics,46,121.35,5582.1,0.1
2021-01-14 16:00:00,West,Consumer,Office Supplies,22,104.49,2298.78,0.08
2021-01-14 17:00:00,West,Consumer,Electronics,3,341.58,1024.74,0.11
2021-01-14 18:00:00,North,Corporate,Electronics,1,213.2,213.2,0.09
2021-01-14 19:00:00,North,Small Business,Electronics,33,21.87,721.71,0.2
2021-01-14 20:00:00,West,Consumer,Electronics,19,179.96,3419.24,0.2
2021-01-14 21:00:00,East,Corporate,Office Supplies,36,405.3,14590.8,0.2
2021-01-14 22:00:00,South,Small Business,Office Supplies,34,400.74,13625.16,0.21
2021-01-14 23:00:00,West,Small Business,Office Supplies,31,252.4,7824.4,0.25
2021-01-15 0:00:00,North,Small Business,Furniture,43,241.56,10387.08,0.28
2021-01-15 1:00:00,East,Consumer,Office Supplies,24,293.96,7055.04,0.11
2021-01-15 2:00:00,West,Consumer,Office Supplies,12,117.5,1410,0.2
2021-01-15 3:00:00,West,Consumer,Furniture,13,267.76,3480.88,0.07
2021-01-15 4:00:00,East,Small Business,Electronics,16,15.41,246.56,0.08
2021-01-15 5:00:00,West,Consumer,Electronics,16,243.02,3888.32,0.21
2021-01-15 6:00:00,East,Corporate,Electronics,20,174.67,3493.4,0.17
2021-01-15 7:00:00,South,Consumer,Furniture,41,340.69,13968.29,0.24
